id,caseNumber,occurredAt,primaryType,secondaryType,latitude,longitude,personId,firstName,lastName,gender,race,birthYear
POL_20c227bc52ff41b62c6e6ceebea7417a5905838b95ccbae5b37d1e6b0d1ac803,B87119801,2026-01-31T23:30:00Z[UTC],DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,51.544807,-0.175109,POL_035006546,NATHAN,ANDERSON,MALE,WHITE HISPANIC,2004
POL_20c227bc52ff41b62c6e6ceebea7417a5905838b95ccbae5b37d1e6b0d1ac803,B87119801,2026-01-31T23:30:00Z[UTC],DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,51.544807,-0.175109,POL_035003464,ANDREW,MIRANDA,MALE,WHITE HISPANIC,1999
POL_20c227bc52ff41b62c6e6ceebea7417a5905838b95ccbae5b37d1e6b0d1ac803,B87119801,2026-01-31T23:30:00Z[UTC],DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,51.544807,-0.175109,POL_035050007,ADAM,WRIGHT,MALE,BLACK,2007
POL_dcb619914b8cab6267580b6a8d5b4601a12411c18d5b4208b6624f6d1c4d062e,B87141224,2026-01-31T23:00:00Z[UTC],MOTOR VEHICLE THEFT,AUTOMOBILE,51.44175,-0.132123,POL_035003046,FRANK,NGUYEN,MALE,BLACK,2001
POL_dcb619914b8cab6267580b6a8d5b4601a12411c18d5b4208b6624f6d1c4d062e,B87141224,2026-01-31T23:00:00Z[UTC],MOTOR VEHICLE THEFT,AUTOMOBILE,51.44175,-0.132123,POL_035032228,LATASHA,ADAMS,FEMALE,BLACK,2005
POL_194ccb59660d342a83ba24045a6ecaf88a26ab518112ece60af52254ed1db467,B87116039,2026-01-31T22:25:00Z[UTC],BATTERY,AGG PO HANDS NO/MIN INJURY,51.495267,-0.380819,POL_035052398,JASON,COHEN,MALE,WHITE HISPANIC,1996
POL_7bd63ad4642a2eebcb27adf428d04edc420398be549c3ef49dee15a426d11a07,B87112611,2026-01-31T22:10:00Z[UTC],THEFT,ATTEMPT THEFT,51.378988,-0.111213,POL_035054255,MATTHEW,SNOW,MALE,BLACK,1995
POL_801dcdba1ddb05d847f16174bafefb35,B87132733,2026-01-31T22:05:00Z[UTC],PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,51.383567,-0.099657,POL_035003629,DEREK,GONZALEZ,MALE,BLACK,2000
POL_44744216dcb6890d297aa0622d1bac24,B87165103,2026-01-31T21:45:00Z[UTC],BATTERY,SIMPLE,51.371784,-0.090648,POL_035045416,MARK,OWEN,MALE,BLACK,2004
POL_cd820ff316e80f893d4b76fb0d5ec10e1e61afbfdeaf25584644e839270de248,B87110177,2026-01-31T21:00:00Z[UTC],BATTERY,DOMESTIC BATTERY SIMPLE,52.551409,-1.567957,POL_035000697,JOHN,HAMPTON,MALE,BLACK,1969
POL_3cb8031bc57cdcf880986e7b26d4366aa928d959e5180ba9b287f7617ae622b0,B87156977,2026-01-31T20:00:00Z[UTC],MOTOR VEHICLE THEFT,AUTOMOBILE,51.532873,-0.2036,POL_035002308,EDWARD,ACOSTA,MALE,BLACK,1990
POL_3cb8031bc57cdcf880986e7b26d4366aa928d959e5180ba9b287f7617ae622b0,B87156977,2026-01-31T20:00:00Z[UTC],MOTOR VEHICLE THEFT,AUTOMOBILE,51.532873,-0.2036,POL_035040767,CODY,GALVAN,MALE,BLACK,2000
POL_3cb8031bc57cdcf880986e7b26d4366aa928d959e5180ba9b287f7617ae622b0,B87156977,2026-01-31T20:00:00Z[UTC],MOTOR VEHICLE THEFT,AUTOMOBILE,51.532873,-0.2036,POL_035035164,ARIEL,JIMENEZ,FEMALE,BLACK,2002
POL_9b86eda677390fd8ccff097a2b58a015f11eeb7a4399528716521940f752338b,B87135940,2026-01-31T19:22:00Z[UTC],ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,51.491347,-0.072245,POL_035005824,DONALD,ROSS,MALE,WHITE,1977
POL_f1e81d3c162902f7ab6270ab9b112ae0,B87155942,2026-01-31T18:57:00Z[UTC],PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,51.418493,-0.074161,POL_035032661,CHRISTOPHER,ROLLINS,MALE,BLACK,2006
POL_f1e81d3c162902f7ab6270ab9b112ae0,B87155942,2026-01-31T18:57:00Z[UTC],PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,51.418493,-0.074161,POL_035006052,JOHN,ADAMS,MALE,BLACK,2006
POL_f1e81d3c162902f7ab6270ab9b112ae0,B87155942,2026-01-31T18:57:00Z[UTC],PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,51.418493,-0.074161,POL_035004397,DALTON,CHARLES,MALE,BLACK,2006
POL_140a5d177fc1b3b9a9d5e33521cd521a88af9bfbd0dbed7df2acf55d2032525e,B87143728,2026-01-31T18:44:00Z[UTC],NARCOTICS,POSS: HEROIN(WHITE),51.490197,-0.167106,POL_035032517,BRADLEY,ARMSTRONG,MALE,BLACK,1976
POL_b31a76283c0506423fa87c0944eaaca303317e052fa9efc7a01e010366a79d60,B87116588,2026-01-31T18:39:00Z[UTC],WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,51.525636,-0.203092,POL_035042757,RAYMOND,TRUJILLO,MALE,BLACK,1993
POL_ae4ecf3a359e30911dc207953d94a636,B87122977,2026-01-31T18:31:00Z[UTC],PUBLIC PEACE VIOLATION,MOB ACTION,51.577453,-0.008867,POL_035013145,DANIEL,JACKSON,MALE,BLACK,2001
POL_ae4ecf3a359e30911dc207953d94a636,B87122977,2026-01-31T18:31:00Z[UTC],PUBLIC PEACE VIOLATION,MOB ACTION,51.577453,-0.008867,POL_035020193,JOSEPH,SANDERS,MALE,BLACK,1998
POL_20ec35a94c61cea734e94bd61b138fecba69835f89e6677fa9cf9c22d4edcb11,B8718929,2026-01-31T18:30:00Z[UTC],ASSAULT,SIMPLE,51.54201,-0.055308,POL_035007106,RAYMOND,BROWN,MALE,BLACK,2003
POL_dc842d0c891e6c7a0dcc8b4249de7289ac08b954f9ecff04b0584bafe3397b62,B87144697,2026-01-31T18:16:00Z[UTC],WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,51.616888,0.04385,POL_035046801,SAMUEL,BROWN,MALE,BLACK,1994
POL_dc842d0c891e6c7a0dcc8b4249de7289ac08b954f9ecff04b0584bafe3397b62,B87144697,2026-01-31T18:16:00Z[UTC],WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,51.616888,0.04385,POL_035047082,RAYMOND,MYERS,MALE,BLACK,2006
POL_72ef1bf8b76cdc981e7753719aee1986adccd608f780314b7ab17bdf7a18b0e0,B87145739,2026-01-31T17:45:00Z[UTC],NARCOTICS,POSS: HEROIN(WHITE),51.575006,-0.210324,POL_035004833,MICHAEL,BROWN,MALE,BLACK,2002
POL_e1d446c7199ac21e83660cb50c448133286c715ce053c3c87b5c301bca6742ff,B87119238,2026-01-31T17:35:00Z[UTC],NARCOTICS,POSS: HALLUCINOGENS,51.586701,-0.210644,POL_035043416,GEORGE,PONCE,MALE,BLACK,1990
POL_f4f5d74e21f33ec69516696ce165c341,B87138576,2026-01-31T17:25:00Z[UTC],CRIMINAL TRESPASS,TO LAND,51.560981,0.150487,POL_035037413,CORY,MCKENZIE,MALE,BLACK,2007
POL_f4f5d74e21f33ec69516696ce165c341,B87138576,2026-01-31T17:25:00Z[UTC],CRIMINAL TRESPASS,TO LAND,51.560981,0.150487,POL_035046215,JASON,JONES,MALE,BLACK,2007
POL_f4f5d74e21f33ec69516696ce165c341,B87138576,2026-01-31T17:25:00Z[UTC],CRIMINAL TRESPASS,TO LAND,51.560981,0.150487,POL_035000355,CHRISTOPHER,SMITH,MALE,BLACK,2007
POL_f6a8269c0878da837263ab62fd15cdb6a990f46f51524be45a3e7ea0da160616,B87137578,2026-01-31T17:14:00Z[UTC],CRIMINAL TRESPASS,TO LAND,51.651269,-0.066754,POL_035019908,JONATHAN,PEREZ,MALE,BLACK,1998
POL_f6a8269c0878da837263ab62fd15cdb6a990f46f51524be45a3e7ea0da160616,B87137578,2026-01-31T17:14:00Z[UTC],CRIMINAL TRESPASS,TO LAND,51.651269,-0.066754,POL_035026243,RICHARD,ERICKSON,MALE,BLACK,1999
POL_bab82d033c9c670e32d6611761aa1104c44a223671b7486ad4dd6b6daa5bb460,B87119042,2026-01-31T17:11:00Z[UTC],BATTERY,SIMPLE,51.527551,0.05076,POL_035040053,KATIE,TUCKER,FEMALE,BLACK,2001
POL_bab82d033c9c670e32d6611761aa1104c44a223671b7486ad4dd6b6daa5bb460,B87119042,2026-01-31T17:11:00Z[UTC],BATTERY,SIMPLE,51.527551,0.05076,POL_035015228,JENNIFER,CARR,FEMALE,BLACK,2005
POL_199de6a7f1e96b27f742a1abbe3dd0f661f64d0a11c133afd079f84f583b1be1,B87161862,2026-01-31T15:30:00Z[UTC],BATTERY,SIMPLE,51.561493,0.062357,POL_035052274,BRANDON,BROCK,MALE,BLACK,2000
POL_d2c6d4c31a6e21930232f2741f139e93,B87112751,2026-01-31T15:02:00Z[UTC],THEFT,RETAIL THEFT,51.629731,-0.059578,POL_035038452,LESLIE,GONZALEZ,FEMALE,BLACK,2007
POL_d2c6d4c31a6e21930232f2741f139e93,B87112751,2026-01-31T15:02:00Z[UTC],THEFT,RETAIL THEFT,51.629731,-0.059578,POL_035038000,CHERYL,FISHER,FEMALE,BLACK,2006
POL_66f520fcadddd12b2eda056661b0a0a64868a700ce98880fd2587d10c50ad686,B87150913,2026-01-31T14:39:00Z[UTC],CRIMINAL TRESPASS,TO LAND,51.509886,-0.128646,POL_035049627,KEVIN,NICHOLS,MALE,BLACK,1991
POL_66f520fcadddd12b2eda056661b0a0a64868a700ce98880fd2587d10c50ad686,B87150913,2026-01-31T14:39:00Z[UTC],CRIMINAL TRESPASS,TO LAND,51.509886,-0.128646,POL_035041223,RICHARD,CASTILLO,MALE,BLACK,1978
POL_b9a1c97519c747b93f93ef18c3584cea2b631f198e0b515d49bf20ad6eb05429,B87136493,2026-01-31T14:30:00Z[UTC],NARCOTICS,MANU/DELIVER: HEROIN (WHITE),51.609986,-0.170604,POL_035025281,SALLY,JOYCE,FEMALE,BLACK,1999
POL_db089d80433a9328efda318e033c54249d272246d404831f25499a321d600fba,B8719899,2026-01-31T13:52:00Z[UTC],WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,51.556974,-0.21487,POL_035032066,JULIAN,MITCHELL,MALE,BLACK,1995
POL_1f52c7b310b403d66fcefa495d9a3354,B87121607,2026-01-31T13:10:00Z[UTC],NARCOTICS,POSS: CANNABIS 30GMS OR LESS,51.506949,-0.270084,POL_035027226,CHRISTOPHER,ROSALES,MALE,BLACK,1995
POL_3ac0515824d076f947ef51cf05025750d20974e92c032288a212ea04029c7dc1,B87156408,2026-01-31T13:08:00Z[UTC],WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,51.465897,-0.121534,POL_035045547,JAMES,HANCOCK,MALE,BLACK,2003
POL_2a022a2d13c21da27d1bf237ab443f9627e040d569746583979da5ea511e1560,B87149891,2026-01-31T12:58:00Z[UTC],WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,51.522284,-0.125153,POL_035014654,JONATHON,DUNCAN,MALE,WHITE HISPANIC,2003
POL_fef88a66bf561b21b289a0ebfbfc3688dad41e31935fae63e7d26d9e140e7393,B87147572,2026-01-31T12:43:00Z[UTC],NARCOTICS,MANU/DELIVER: HEROIN (WHITE),51.436014,0.002889,POL_035046318,GREGORY,LOPEZ,MALE,BLACK,2004
POL_fef88a66bf561b21b289a0ebfbfc3688dad41e31935fae63e7d26d9e140e7393,B87147572,2026-01-31T12:43:00Z[UTC],NARCOTICS,MANU/DELIVER: HEROIN (WHITE),51.436014,0.002889,POL_035017218,MICHAEL,BROWN,MALE,BLACK,1972
POL_f8a024e8c8e7227c7b5978cd773d91ca1abfb4f71da008a56bad0389816f667b,B87140846,2026-01-31T11:08:00Z[UTC],OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,51.48986,-0.023461,POL_035039348,ISAAC,SMITH,MALE,BLACK,1989
POL_a2a6d601f3d83d99aa3ad2883267305e009b99e7a1d24f75f34fe0104b74636a,B87138342,2026-01-31T10:26:00Z[UTC],THEFT,RETAIL THEFT,51.543483,-0.009647,POL_035050748,ALEXANDER,KLINE,MALE,WHITE HISPANIC,1987
POL_a6c314f4f0f149ad2553700558e4ee07f3bb9ee7764b41a62c1ce8c9773c755a,B87150775,2026-01-31T10:24:00Z[UTC],NARCOTICS,POSS: CRACK,51.514656,-0.383562,POL_035021983,CHRISTINE,VILLA,FEMALE,BLACK,1978
POL_d851eda410a61bfd2cef4d4a9328fce49925dc33650a3445e52b2f5b7d8d5558,B87129366,2026-01-31T10:12:00Z[UTC],NARCOTICS,POSSESS - HEROIN (WHITE),51.460508,-0.297435,POL_035020780,ANTHONY,WADE,MALE,BLACK,1996
POL_8c497702b041f66ab530f0573c5ef01d67b4f6de2caa0fd5660faa1cbdbf9e53,B87148911,2026-01-31T09:59:00Z[UTC],BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,51.485058,-0.165137,POL_035036081,MARVIN,GARZA,MALE,BLACK,1994
POL_da2ac595b3733a2d253df314fdc32e32d7af42cda2a78fd93ec51f88a9be3c14,B871407550,2026-01-31T07:35:07Z[UTC],OFFENSE INVOLVING CHILDREN,CHILD ABUSE,51.511376,-0.380493,POL_0382169827,AMANDA,GREEN,FEMALE,BLACK,1974
POL_d5faef526334d23b99a706b3ab2c4530d43c15b27fecbd0a57bbc31bdf1941ce,B871355158,2026-01-31T07:35:07Z[UTC],BATTERY,DOMESTIC BATTERY SIMPLE,51.576604,-0.067268,POL_0382231300,CYNTHIA,JACOBSON,FEMALE,BLACK,1991
POL_59ff3706157dc67bfedf6acfe85868f68f71d86bd3b9a76f970fe57d997ec444,B871408869,2026-01-31T07:35:07Z[UTC],OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,51.554405,0.063984,POL_0382038720,DAMON,JACKSON,MALE,WHITE,1991
POL_d02ec24f5a7286d7e1b0ae1528ac9b9bc7aac90f7d074010a113bf044bcddec5,B871399146,2026-01-31T07:35:07Z[UTC],NARCOTICS,MANU/DELIVER: HEROIN (WHITE),51.516119,-0.014959,POL_0382182221,NATHANIEL,MORALES,MALE,BLACK,1988
POL_a49497e0442654d68c28ce2f683e3b6aeedc47294080bdc6e623ba4a96e5dc97,B871438219,2026-01-31T07:35:07Z[UTC],NARCOTICS,POSS: CANNABIS 30GMS OR LESS,51.560872,-0.319297,POL_0382122091,DEREK,HATFIELD,MALE,WHITE HISPANIC,1984
POL_766e4548504b094a25b87937aab4785dbc95013c5f00dc351cc27b002863bb49,B871474486,2026-01-31T07:35:07Z[UTC],NARCOTICS,POSS: HEROIN(WHITE),51.549777,0.034999,POL_0382049668,THOMAS,STEVENS,MALE,BLACK,1967
POL_b572d7477d4461d4ea22422a30f3cc1280721ce20d04f279d6a0961c40df1f73,B871453140,2026-01-31T07:35:07Z[UTC],NARCOTICS,MANU/DELIVER: HEROIN (WHITE),51.492605,-0.097013,POL_0382024986,DANIEL,ANDERSON,MALE,BLACK,1966
POL_abf1a2af19aba70e9d04392e8cdb20e3983c99bd1790a9776a96bc03d65cc70d,B871363108,2026-01-31T07:35:07Z[UTC],DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,51.500472,-0.074842,POL_0382081266,RICHARD,HERNANDEZ,MALE,WHITE HISPANIC,1998
POL_970bc104c6ece1fcfc232a43c9496cfd,B871451854,2026-01-31T07:35:07Z[UTC],NARCOTICS,MANU/DELIVER:CRACK,51.489721,-0.135781,POL_0382144937,TIFFANY,JACOBS,FEMALE,BLACK,1969
POL_7ed113ba61ac2af43b578258efa92cec021c20ce01c00670e1b738c8c5a32bdc,B871357443,2026-01-31T07:35:07Z[UTC],BATTERY,DOMESTIC BATTERY SIMPLE,51.434764,-0.019855,POL_0382190143,DUSTIN,FITZGERALD,MALE,BLACK,1991
POL_80a84058c6a9d7ca94645c27e03231ea0a126f33918ff03032d4159a063ad9a9,B871526847,2026-01-31T07:35:07Z[UTC],NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,51.638725,-0.127277,POL_0382149857,SCOTT,MOORE,MALE,BLACK,1986
POL_8e96c1f3f3583f22f21ed431f7f154ce1724e62edc6445cc0c5fec3dfb733909,B871372528,2026-01-31T07:35:07Z[UTC],NARCOTICS,MANU/DELIVER: HEROIN (WHITE),51.464888,-0.113038,POL_0382169007,DAVID,BROWN,MALE,BLACK,1962
POL_8e89b28ac6da21031ec72a93f948222eb00df5678a8209457c80af381062a6d1,B871381322,2026-01-31T07:35:07Z[UTC],ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,51.385178,-0.167439,POL_0382093108,ZACHARY,HUNT,MALE,BLACK HISPANIC,1962
POL_b55da237f03e95ad58cab3a071267693a6c48c22bf7bbf26ca059d682619e973,B871524954,2026-01-31T07:35:07Z[UTC],NARCOTICS,POSS: SYNTHETIC DRUGS,51.483675,-0.064561,POL_0382112769,RICHARD,WARD,MALE,WHITE HISPANIC,1999
POL_3f41edcf9619917d05b3b61488222338c317a533d3af439c2239acc75bfa1401,B871389511,2026-01-31T07:35:07Z[UTC],CRIMINAL TRESPASS,TO LAND,51.551744,-0.240114,POL_0382145796,DAVID,CUMMINGS,MALE,BLACK,1976
